"","Common Name","year","pop"
"1","European shag","1970",100
"2","European shag","1970",190
"3","European shag","1970",190
"4","European shag","1971",195
"5","European shag","1971",195
"6","European shag","1972",180
"7","European shag","1972",180
"8","European shag","1973",270
"9","European shag","1973",270
"10","European shag","1973",1100
"11","European shag","1974",310
"12","European shag","1974",310
"13","European shag","1974",850
"14","European shag","1975",165
"15","European shag","1975",165
"16","European shag","1975",650
"17","European shag","1976",310
"18","European shag","1976",310
"19","European shag","1976",500
"20","European shag","1977",390
"21","European shag","1977",390
"22","European shag","1977",850
"23","European shag","1978",410
"24","European shag","1978",410
"25","European shag","1978",700
"26","European shag","1979",950
"27","European shag","1980",1050
"28","European shag","1981",1200
"29","European shag","1982",1400
"30","European shag","1983",1600
"31","European shag","1984",1650
"32","European shag","1985",1300
"33","European shag","1986",100
"34","European shag","1986",100
"35","European shag","1986",100
"36","European shag","1986",100
"37","European shag","1986",1300
"38","European shag","1986",1350
"39","European shag","1987",110
"40","European shag","1987",370
"41","European shag","1987",130
"42","European shag","1987",95
"43","European shag","1987",1900
"44","European shag","1987",1900
"45","European shag","1988",125
"46","European shag","1988",330
"47","European shag","1988",100
"48","European shag","1988",90
"49","European shag","1988",1250
"50","European shag","1988",1300
"51","European shag","1989",150
"52","European shag","1989",290
"53","European shag","1989",125
"54","European shag","1989",85
"55","European shag","1989",1650
"56","European shag","1989",1750
"57","European shag","1990",135
"58","European shag","1990",140
"59","European shag","1990",230
"60","European shag","1990",120
"61","European shag","1990",70
"62","European shag","1990",1400
"63","European shag","1990",1800
"64","European shag","1991",150
"65","European shag","1991",210
"66","European shag","1991",130
"67","European shag","1991",70
"68","European shag","1991",1500
"69","European shag","1991",1500
"70","European shag","1992",170
"71","European shag","1992",210
"72","European shag","1992",135
"73","European shag","1992",65
"74","European shag","1992",1550
"75","European shag","1992",1550
"76","European shag","1993",175
"77","European shag","1993",160
"78","European shag","1993",55
"79","European shag","1993",55
"80","European shag","1993",700
"81","European shag","1993",750
"82","European shag","1994",70
"83","European shag","1994",190
"84","European shag","1994",30
"85","European shag","1994",55
"86","European shag","1994",400
"87","European shag","1994",400
"88","European shag","1995",85
"89","European shag","1995",210
"90","European shag","1995",40
"91","European shag","1995",55
"92","European shag","1995",450
"93","European shag","1995",500
"94","European shag","1996",80
"95","European shag","1996",190
"96","European shag","1996",40
"97","European shag","1996",60
"98","European shag","1996",500
"99","European shag","1996",550
"100","European shag","1997",95
"101","European shag","1997",130
"102","European shag","1997",40
"103","European shag","1997",55
"104","European shag","1997",450
"105","European shag","1997",500
"106","European shag","1998",85
"107","European shag","1998",130
"108","European shag","1998",50
"109","European shag","1998",60
"110","European shag","1998",650
"111","European shag","1998",650
"112","European shag","1999",80
"113","European shag","1999",150
"114","European shag","1999",25
"115","European shag","1999",45
"116","European shag","1999",250
"117","European shag","2000",101
"118","European shag","2000",115
"119","European shag","2000",180
"120","European shag","2000",45
"121","European shag","2000",70
"122","European shag","2000",1108
"123","European shag","2000",550
"124","European shag","2001",120
"125","European shag","2001",180
"126","European shag","2001",60
"127","European shag","2001",65
"128","European shag","2001",700
"129","European shag","2002",115
"130","European shag","2002",130
"131","European shag","2002",60
"132","European shag","2002",60
"133","European shag","2002",650
"134","European shag","2003",150
"135","European shag","2003",130
"136","European shag","2003",80
"137","European shag","2003",50
"138","European shag","2003",950
"139","European shag","2004",125
"140","European shag","2004",110
"141","European shag","2004",75
"142","European shag","2004",45
"143","European shag","2004",650
"144","European shag","2005",80
"145","European shag","2005",70
"146","European shag","2005",30
"147","European shag","2005",40
"148","European shag","2005",250
"149","European shag","2006",1286
"150","European shag","2006",500
